link_id,name,osm_way_id,from_node_id,to_node_id,directed,geometry,dir_flag,length,facility_type,link_type,free_speed,lanes,capacity,allowed_uses,notes
1,South Marilyn Ann Drive,5588937,1,2,1,"LINESTRING (-111.9514312 33.4138249, -111.9514308 33.4139148)",1,10.00,service,8,,,,bike;walk,
2,South Marilyn Ann Drive,5588937,2,3,1,"LINESTRING (-111.9514308 33.4139148, -111.9514303 33.4143209)",1,45.16,service,8,,,,bike;walk,
3,South Marilyn Ann Drive,5588937,2,1,1,"LINESTRING (-111.9514308 33.4139148, -111.9514312 33.4138249)",1,10.00,service,8,,,,bike;walk,
4,South Marilyn Ann Drive,5588937,3,2,1,"LINESTRING (-111.9514303 33.4143209, -111.9514308 33.4139148)",1,45.16,service,8,,,,bike;walk,
5,South Marilyn Ann Drive,5588939,4,5,1,"LINESTRING (-111.9507547 33.4118831, -111.9507959 33.4118467, -111.9508295 33.4118142, -111.9508596 33.4117733, -111.9508797 33.4117263, -111.9508891 33.4116774, -111.9508931 33.4116325, -111.9508893 33.4110309)",1,98.64,residential,6,40,,,bike;walk,
6,South Marilyn Ann Drive,5588939,6,4,1,"LINESTRING (-111.9504949 33.4120989, -111.9507547 33.4118831)",1,34.02,residential,6,40,,,bike;walk,
7,South Marilyn Ann Drive,5588939,7,8,1,"LINESTRING (-111.9508863 33.4106177, -111.9508844 33.4101966)",1,46.82,residential,6,40,,,bike;walk,
8,South Marilyn Ann Drive,5588939,8,9,1,"LINESTRING (-111.9508844 33.4101966, -111.9508831 33.4098871)",1,34.42,residential,6,40,,,bike;walk,
9,South Marilyn Ann Drive,5588939,5,7,1,"LINESTRING (-111.9508893 33.4110309, -111.9508863 33.4106177)",1,45.95,residential,6,40,,,bike;walk,
10,South Marilyn Ann Drive,5588939,9,10,1,"LINESTRING (-111.9508831 33.4098871, -111.9508833 33.4098348)",1,5.82,residential,6,40,,,bike;walk,
11,South Marilyn Ann Drive,5588939,11,6,1,"LINESTRING (-111.9504439 33.412142, -111.9504949 33.4120989)",1,6.74,residential,6,40,,,bike;walk,
12,South Marilyn Ann Drive,5588939,6,11,1,"LINESTRING (-111.9504949 33.4120989, -111.9504439 33.412142)",1,6.74,residential,6,40,,,bike;walk,
13,South Marilyn Ann Drive,5588939,4,6,1,"LINESTRING (-111.9507547 33.4118831, -111.9504949 33.4120989)",1,34.02,residential,6,40,,,bike;walk,
14,South Marilyn Ann Drive,5588939,8,7,1,"LINESTRING (-111.9508844 33.4101966, -111.9508863 33.4106177)",1,46.82,residential,6,40,,,bike;walk,
15,South Marilyn Ann Drive,5588939,10,9,1,"LINESTRING (-111.9508833 33.4098348, -111.9508831 33.4098871)",1,5.82,residential,6,40,,,bike;walk,
16,South Marilyn Ann Drive,5588939,7,5,1,"LINESTRING (-111.9508863 33.4106177, -111.9508893 33.4110309)",1,45.95,residential,6,40,,,bike;walk,
17,South Marilyn Ann Drive,5588939,9,8,1,"LINESTRING (-111.9508831 33.4098871, -111.9508844 33.4101966)",1,34.42,residential,6,40,,,bike;walk,
18,South Marilyn Ann Drive,5588939,5,4,1,"LINESTRING (-111.9508893 33.4110309, -111.9508931 33.4116325, -111.9508891 33.4116774, -111.9508797 33.4117263, -111.9508596 33.4117733, -111.9508295 33.4118142, -111.9507959 33.4118467, -111.9507547 33.4118831)",1,98.64,residential,6,40,,,bike;walk,
19,South Marilyn Ann Drive,5588943,12,13,1,"LINESTRING (-111.9493933 33.4131322, -111.9495659 33.4129837)",1,23.01,residential,6,40,,,bike;walk,
20,South Marilyn Ann Drive,5588943,13,14,1,"LINESTRING (-111.9495659 33.4129837, -111.9498299 33.412763)",1,34.68,residential,6,40,,,bike;walk,
21,South Marilyn Ann Drive,5588943,14,15,1,"LINESTRING (-111.9498299 33.412763, -111.9498821 33.4127195)",1,6.85,residential,6,40,,,bike;walk,
22,South Marilyn Ann Drive,5588943,14,13,1,"LINESTRING (-111.9498299 33.412763, -111.9495659 33.4129837)",1,34.68,residential,6,40,,,bike;walk,
23,South Marilyn Ann Drive,5588943,15,14,1,"LINESTRING (-111.9498821 33.4127195, -111.9498299 33.412763)",1,6.85,residential,6,40,,,bike;walk,
24,South Marilyn Ann Drive,5588943,13,12,1,"LINESTRING (-111.9495659 33.4129837, -111.9493933 33.4131322)",1,23.01,residential,6,40,,,bike;walk,
25,South Farmer Avenue,5590095,16,17,1,"LINESTRING (-111.9442963 33.410264, -111.9442959 33.4098926)",1,41.30,residential,6,40,1,,bike;walk,
26,South Farmer Avenue,5590095,17,18,1,"LINESTRING (-111.9442959 33.4098926, -111.9442956 33.4097688, -111.9442959 33.4095166, -111.9442946 33.4091443, -111.9442946 33.409073, -111.9442945 33.4087687, -111.9442952 33.4084887, -111.9442936 33.4084544, -111.9442889 33.408425, -111.9442766 33.4084023, -111.9442611 33.4083835, -111.9442462 33.4083709, -111.9442274 33.4083589, -111.9442059 33.40835, -111.9441794 33.4083439, -111.9441038 33.4083348, -111.9440694 33.4083262, -111.9440387 33.4083126, -111.9440135 33.4082963, -111.9439916 33.4082756, -111.9439742 33.4082548, -111.9439609 33.4082295, -111.9439524 33.408205, -111.9439501 33.4081815, -111.9439487 33.4081293, -111.943949 33.4074942, -111.9439489 33.4074615, -111.9439499 33.4073773)",1,297.93,residential,6,40,1,,bike;walk,
27,South Farmer Avenue,5590095,19,20,1,"LINESTRING (-111.944287 33.4145578, -111.9442878 33.4145311, -111.9442885 33.4144819, -111.9442932 33.4144534, -111.9443066 33.4144231, -111.944311 33.4143981, -111.9443115 33.4142442, -111.9443138 33.4139026)",1,73.14,residential,6,40,1,,bike;walk,
28,South Farmer Avenue,5590095,20,21,1,"LINESTRING (-111.9443138 33.4139026, -111.9443094 33.4131817)",1,80.16,residential,6,40,1,,bike;walk,
29,South Farmer Avenue,5590095,22,19,1,"LINESTRING (-111.9442875 33.4146337, -111.944287 33.4145578)",1,8.44,residential,6,40,1,,bike;walk,
30,South Farmer Avenue,5590095,21,23,1,"LINESTRING (-111.9443094 33.4131817, -111.9443088 33.4130312, -111.9443073 33.411888, -111.9443024 33.4110208)",1,240.28,residential,6,40,1,,bike;walk,
31,South Farmer Avenue,5590095,24,16,1,"LINESTRING (-111.9442992 33.4106384, -111.9442963 33.410264)",1,41.63,residential,6,40,1,,bike;walk,
