name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,1,41508980,,-111.9514312,33.4138249,,,,,
,2,11363323875,,-111.9514308,33.4139148,,,,,
,3,4176965556,,-111.9514303,33.4143209,,,,,
,4,401887618,,-111.9507547,33.4118831,,,,,
,5,401886478,,-111.9508893,33.4110309,,,,,
,6,11369695317,,-111.9504949,33.4120989,,,,,
,7,401886408,,-111.9508863,33.4106177,,,,,
,8,401886475,,-111.9508844,33.4101966,,,,,
,9,11393186108,,-111.9508831,33.4098871,,,,,
,10,41508989,,-111.9508833,33.4098348,,,,,
,11,41508985,,-111.9504439,33.4121420,,,,,
,12,41509007,,-111.9493933,33.4131322,,,,,
,13,2341521976,,-111.9495659,33.4129837,,,,,
,14,11369695286,,-111.9498299,33.4127630,,,,,
,15,41509009,,-111.9498821,33.4127195,,,,,
,16,41520590,,-111.9442963,33.4102640,,,,,
,17,401885554,,-111.9442959,33.4098926,,,,,
,18,41520604,,-111.9439499,33.4073773,,,,,
,19,2300341714,,-111.9442870,33.4145578,,,,,
,20,41520581,,-111.9443138,33.4139026,,,,,
,21,41520584,,-111.9443094,33.4131817,,,,,
,22,41520578,,-111.9442875,33.4146337,,,,,
,23,41520587,,-111.9443024,33.4110208,,,,,
,24,401886183,,-111.9442992,33.4106384,,,,,
,25,8444581056,,-111.9412509,33.4215015,,,,,
,26,7590725936,,-111.9412471,33.4213250,,,,,
,27,7809692863,,-111.9412463,33.4212878,,,,,
,28,11782660715,,-111.9412564,33.4218880,,,,,
,29,11347121476,,-111.9412560,33.4218156,,,,,
,30,863736785,,-111.9412451,33.4212295,,,,,
,31,7265020294,,-111.9412440,33.4211892,,,,,
,32,11345417973,,-111.9412295,33.4205376,,,,,
,33,7265020288,,-111.9412299,33.4205242,,,,,
,34,8444584102,,-111.9412512,33.4215187,,,,,
,35,3983463732,,-111.9360637,33.4099438,,,,,
,36,41546640,,-111.9360118,33.4095058,,,,,
,37,41546636,,-111.9392768,33.4086680,,,,,
,38,3983463726,,-111.9391792,33.4091143,,,,,
,39,3712411822,,-111.9296969,33.4104461,,,,,
,40,41546648,,-111.9265223,33.4104547,,,,,
,41,41546647,,-111.9301254,33.4104444,,,,,
,42,5650675608,,-111.9242764,33.4118974,,,,,
,43,7051886160,,-111.9237971,33.4118946,,,,,
,44,11633569988,,-111.9233150,33.4118918,,,,,
,45,41548521,,-111.9232523,33.4118914,,,,,
,46,11345057886,,-111.9423652,33.4191054,,,,,
,47,3580722895,,-111.9423658,33.4196106,,,,,
,48,41563464,,-111.9423945,33.4190482,,,,,
,49,8417475906,,-111.9423711,33.4201216,,,,,
,50,11345057882,,-111.9424417,33.4189898,,,,,
,51,8552229779,,-111.9424547,33.4186471,,,,,
,52,8444309126,,-111.9423761,33.4204117,,,,,
,53,7265020297,,-111.9423771,33.4204294,,,,,
,54,7121998415,,-111.9424528,33.4184029,,,,,
,55,6892811496,,-111.9424524,33.4177004,,,,,
,56,41563455,,-111.9423400,33.4136148,,,,,
,57,4181518724,,-111.9423741,33.4146514,,,,,
,58,41563456,,-111.9424188,33.4147283,,,,,
,59,11350883607,,-111.9424408,33.4147981,,,,,
,60,7121998412,,-111.9424522,33.4157881,,,,,
,61,7121998409,,-111.9424525,33.4159781,,,,,
,62,7978107675,,-111.9424528,33.4161632,,,,,
,63,41563458,,-111.9424528,33.4161904,,,,,
,64,6892811494,,-111.9424497,33.4169032,,,,,
,65,41563460,,-111.9424525,33.4176183,,,,,
,66,41567500,,-111.9485652,33.4152090,,,,,
,67,11352647730,,-111.9485399,33.4146444,,,,,
,68,41567488,,-111.9485776,33.4179322,,,,,
,69,41567491,,-111.9485765,33.4178010,,,,,
,70,401889366,,-111.9485645,33.4164620,,,,,
,71,11352572301,,-111.9485666,33.4161361,,,,,
,72,11352299734,,-111.9485775,33.4185955,,,,,
,73,4181519103,,-111.9485785,33.4182522,,,,,
,74,11352572326,,-111.9485674,33.4167824,,,,,
,75,41567498,,-111.9485672,33.4160819,,,,,
,76,11352572300,,-111.9485668,33.4160258,,,,,
,77,41567487,,-111.9485796,33.4186498,,,,,
,78,41567494,,-111.9485685,33.4168387,,,,,
,79,11352572328,,-111.9485685,33.4168899,,,,,
,80,401889282,,-111.9485652,33.4155611,,,,,
,81,401889403,,-111.9485737,33.4173198,,,,,
,82,41567502,,-111.9485063,33.4145698,,,,,
,83,41590403,,-111.9457982,33.4139106,,,,,
,84,41590406,,-111.9478700,33.4139171,,,,,
,85,2341521984,,-111.9447391,33.4139040,,,,,
,86,11361104242,,-111.9521075,33.4138267,,,,,
,87,41590410,,-111.9521840,33.4138269,,,,,
,88,41590412,,-111.9505394,33.4138225,,,,,
,89,401888408,,-111.9556302,33.4138701,,,,,
,90,41590442,,-111.9560519,33.4138722,,,,,
,91,41590439,,-111.9531240,33.4131455,,,,,
,92,41590447,,-111.9505140,33.4136728,,,,,
,93,41633737,,-111.9505356,33.4144450,,,,,
,94,11352647747,,-111.9505354,33.4143893,,,,,
,95,11352749924,,-111.9505367,33.4141802,,,,,
,96,11352749916,,-111.9505368,33.4141724,,,,,
,97,41590451,,-111.9483795,33.4136867,,,,,
,98,4176965514,,-111.9479483,33.4135895,,,,,
,99,4176965513,,-111.9478693,33.4135890,,,,,
,100,11352647768,,-111.9493518,33.4138146,,,,,
,101,41567540,,-111.9494616,33.4138146,,,,,
,102,41604297,,-111.9365723,33.4119575,,,,,
,103,7199895038,,-111.9356828,33.4119665,,,,,
,104,41604295,,-111.9379621,33.4119438,,,,,
,105,11378685085,,-111.9378844,33.4119446,,,,,
,106,11378735286,,-111.9350083,33.4119771,,,,,
,107,11378685087,,-111.9380166,33.4119428,,,,,
,108,41604298,,-111.9349297,33.4119783,,,,,
,109,7976102039,,-111.9391432,33.4119218,,,,,
,110,11378735284,,-111.9348429,33.4119797,,,,,
,111,41604294,,-111.9397324,33.4119109,,,,,
,112,11378685077,,-111.9396786,33.4119119,,,,,
,113,7973670571,,-111.9341669,33.4119912,,,,,
,114,7123255177,,-111.9316890,33.4120295,,,,,
,115,41604299,,-111.9307156,33.4120396,,,,,
,116,11369695287,,-111.9492914,33.4122263,,,,,
,117,41611256,,-111.9521800,33.4131649,,,,,
,118,11361104252,,-111.9522684,33.4131646,,,,,
,119,401888355,,-111.9535204,33.4129777,,,,,
,120,11363317363,,-111.9520934,33.4131648,,,,,
,121,41611252,,-111.9492427,33.4121851,,,,,
,122,41611264,,-111.9560428,33.4121465,,,,,
,123,2341521977,,-111.9447393,33.4131840,,,,,
,124,41611274,,-111.9451702,33.4131851,,,,,
,125,41611275,,-111.9478675,33.4131970,,,,,
,126,7485555999,,-111.9489477,33.4152108,,,,,
,127,41621099,,-111.9511559,33.4151816,,,,,
,128,11360700066,,-111.9522661,33.4154163,,,,,
,129,41621106,,-111.9521866,33.4154161,,,,,
,130,41621104,,-111.9585133,33.4154757,,,,,
,131,316007299,,-111.9389443,33.4152954,,,,,
,132,316870046,,-111.9382922,33.4149218,,,,,
,133,4176960380,,-111.9500188,33.4100731,,,,,
,134,41633706,,-111.9500070,33.4073899,,,,,
,135,41633745,,-111.9499635,33.4210895,,,,,
,136,41633746,,-111.9499628,33.4207495,,,,,
,137,418968763,,-111.9499683,33.4214845,,,,,
,138,5665465776,,-111.9499666,33.4213636,,,,,
,139,41633753,,-111.9499616,33.4186570,,,,,
,140,41633755,,-111.9499863,33.4184423,,,,,
,141,401890588,,-111.9499634,33.4211383,,,,,
,142,401889411,,-111.9499613,33.4188285,,,,,
,143,8386328796,,-111.9499591,33.4190644,,,,,
,144,401889431,,-111.9499600,33.4195913,,,,,
,145,1996973929,,-111.9499600,33.4195629,,,,,
,146,41633751,,-111.9499581,33.4192086,,,,,
,147,8411730328,,-111.9499680,33.4217019,,,,,
,148,11352315597,,-111.9500410,33.4169460,,,,,
,149,41633763,,-111.9500410,33.4168853,,,,,
,150,11349492808,,-111.9499617,33.4199181,,,,,
,151,401889402,,-111.9500425,33.4173268,,,,,
,152,41633749,,-111.9499627,33.4199752,,,,,
,153,41633760,,-111.9500442,33.4176618,,,,,
,154,401889435,,-111.9499630,33.4203645,,,,,
,155,41633758,,-111.9500442,33.4179372,,,,,
,156,11349503874,,-111.9499620,33.4206929,,,,,
